,subject_id,channel,band,psd_ratio,genotype
123,b1c3.4,A1_L,$\gamma$,1.046516318994676,3xTg
124,b1c3.4,A1_L,$\theta$,1.1147018759509797,3xTg
125,b1c3.4,A1_R,$\alpha$,1.2116732191073456,3xTg
126,b1c3.4,A1_R,$\beta$,1.258352321185723,3xTg
127,b1c3.4,A1_R,$\delta$,1.1695762466875381,3xTg
128,b1c3.4,A1_R,$\gamma$,1.024495901201455,3xTg
129,b1c3.4,A1_R,$\theta$,1.2012612858744482,3xTg
130,b1c3.4,ACA_R,$\alpha$,1.226155607258207,3xTg
131,b1c3.4,ACA_R,$\beta$,1.3378687608391833,3xTg
132,b1c3.4,ACA_R,$\delta$,1.4734638292723352,3xTg
133,b1c3.4,ACA_R,$\gamma$,1.0434519117581933,3xTg
134,b1c3.4,ACA_R,$\theta$,1.0886029029016966,3xTg
135,b1c3.4,AI_L,$\alpha$,1.0130504941205074,3xTg
136,b1c3.4,AI_L,$\beta$,1.017970706845648,3xTg
137,b1c3.4,AI_L,$\delta$,0.8404932104699127,3xTg
138,b1c3.4,AI_L,$\gamma$,0.99994674748379,3xTg
139,b1c3.4,AI_L,$\theta$,1.0535706301829275,3xTg
140,b1c3.4,AI_R,$\alpha$,1.1963758450394946,3xTg
141,b1c3.4,AI_R,$\beta$,1.2945988604492706,3xTg
142,b1c3.4,AI_R,$\delta$,1.0994684615228854,3xTg
143,b1c3.4,AI_R,$\gamma$,1.0527466278539575,3xTg
144,b1c3.4,AI_R,$\theta$,1.1791029399758473,3xTg
145,b1c3.4,PCA_R,$\alpha$,1.0761553545417688,3xTg
146,b1c3.4,PCA_R,$\beta$,1.1619731953411196,3xTg
147,b1c3.4,PCA_R,$\delta$,1.728212145125503,3xTg
148,b1c3.4,PCA_R,$\gamma$,1.01307475862627,3xTg
149,b1c3.4,PCA_R,$\theta$,1.1046624802888425,3xTg
150,b1c3.4,PMC_R,$\alpha$,1.2128951183805052,3xTg
151,b1c3.4,PMC_R,$\beta$,1.3596175307357703,3xTg
152,b1c3.4,PMC_R,$\delta$,1.102592429082567,3xTg
153,b1c3.4,PMC_R,$\gamma$,1.0850221129607596,3xTg
154,b1c3.4,PMC_R,$\theta$,1.1884282877927559,3xTg
155,b1c3.4,S1_L,$\alpha$,1.1496681062022105,3xTg
156,b1c3.4,S1_L,$\beta$,1.1089217687380593,3xTg
157,b1c3.4,S1_L,$\delta$,1.1374749984689112,3xTg
158,b1c3.4,S1_L,$\gamma$,1.021937603376784,3xTg
