method,edge,band,term,estimate,ci_lower,ci_upper,std_error,z_value,p_value,n_subjects,p_fdr,significant_fdr
wPLI2-debiased,ACA_R–PCA_R,beta,genotype[T.3xTg]:sex[T.m],0.0616238911938397,-0.22875298205351752,0.35200076444119693,0.1481541883105062,0.4159443070531791,0.6774507568793743,44,0.6774507568793743,False
wPLI2-debiased,ACA_R–PCA_R,beta,interaction_kind[T.with mouse cup]:sex[T.m],0.00592087308579319,-0.1337346522897625,0.1455763984613489,0.071254128380491,0.08309515841911967,0.9337758755558917,44,0.9337758755558917,False
wPLI2-debiased,ACA_R–PCA_R,beta,genotype[T.3xTg]:interaction_kind[T.with mouse cup]:sex[T.m],0.04173730444800102,-0.15576543359844983,0.23924004249445188,0.10076855473076407,0.41418976941284696,0.6787351336373972,44,0.7529425077872461,False
wPLI2-debiased,ACA_R–PCA_R,delta,genotype[T.3xTg],-0.1522115187368461,-0.3056992301659517,0.0012761926922594535,0.07831149584369766,-1.943667619893839,0.05193554575043908,44,0.25967772875219536,False
wPLI2-debiased,ACA_R–PCA_R,delta,interaction_kind[T.with mouse cup],0.007103891040542997,-0.09692527977705838,0.11113306185814438,0.05307708286385373,0.13384102247602706,0.8935282877615868,44,0.8935282877615868,False
wPLI2-debiased,ACA_R–PCA_R,delta,sex[T.m],-0.006321846664032784,-0.15980955809313835,0.14716586476507276,0.07831149584369766,-0.08072693026641442,0.9356591194514796,44,0.9755940024266243,False
wPLI2-debiased,ACA_R–PCA_R,delta,genotype[T.3xTg]:interaction_kind[T.with mouse cup],0.07042555902943849,-0.07669390522324078,0.21754502328211778,0.07506233043726254,0.9382277184732563,0.3481273965333064,44,0.5802123275555107,False
wPLI2-debiased,ACA_R–PCA_R,delta,genotype[T.3xTg]:sex[T.m],0.1725128195062109,-0.04455158365443804,0.3895772226668598,0.11074917951188147,1.5576893685944035,0.11930690191585819,44,0.29826725478964544,False
wPLI2-debiased,ACA_R–PCA_R,delta,interaction_kind[T.with mouse cup]:sex[T.m],-0.027800470000699715,-0.17491993425337896,0.11931899425197953,0.07506233043726253,-0.3703651330667849,0.7111104493608953,44,0.8888880617011191,False
wPLI2-debiased,ACA_R–PCA_R,delta,genotype[T.3xTg]:interaction_kind[T.with mouse cup]:sex[T.m],-0.050220723903991134,-0.2582790655391938,0.1578376177312115,0.10615416572770739,-0.47309235167285557,0.6361472931686903,44,0.7529425077872461,False
wPLI2-debiased,ACA_R–PCA_R,gamma,genotype[T.3xTg],0.03574244512876532,-0.02775756595588858,0.09924245621341923,0.032398560170255115,1.1032109124892595,0.26993558348376456,44,0.5520988715867494,False
wPLI2-debiased,ACA_R–PCA_R,gamma,interaction_kind[T.with mouse cup],0.0332558799801863,-0.006840523833249797,0.07335228379362241,0.020457724799900108,1.6255903481675873,0.10403682981156386,44,0.5201841490578193,False
