pair,band,band_idx,groupA,groupB,comparison,symbol,test,stat,p_uncorrected,meanA,semA,nA,meanB,semB,nB,shapiro_p_A,shapiro_p_B,cliffs_delta,p_corrected,significant_corrected,significant_uncorrected
ACA_R–PCA_R,$\delta$,0,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,86.0,0.10066768749863966,0.6052168883891339,0.04424941513308284,11,0.5488785299825064,0.02346440922328013,11,0.009960433130347755,0.03804671001197229,0.4214876033057851,0.14379370286842405,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,79.0,0.23721752775378102,0.8465396093621436,0.040195047164773276,11,0.7864249222507841,0.03565482062004024,11,0.0011583572351755258,0.26632948598091793,0.30578512396694213,0.23721752775378102,False,False
ACA_R–PCA_R,$\alpha$,2,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,95.0,0.025533058683968244,0.9401863169516788,0.02792930595537806,11,0.8475897449008641,0.0389578838206029,11,0.0001267549717309619,0.09051012268658666,0.5702479338842975,0.1276652934198412,False,True
ACA_R–PCA_R,$\beta$,3,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,1.7290611196268002,0.09927533843300025,0.8037951881445543,0.02725569783210826,11,0.7347671629393185,0.02917042457395311,11,0.48038447453005906,0.9392037332012528,0.4380165289256198,0.14379370286842405,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,36.0,0.11503496229473924,0.550731549462517,0.014989704317398607,11,0.5711603898268403,0.009794113594010776,11,0.040376305512219525,0.18475822905509162,-0.4049586776859504,0.14379370286842405,False,False
ACA_R–PCA_R,$\delta$,0,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,-0.8984137035626878,0.3802252914485089,0.5716478085945144,0.039719571572318556,11,0.6171024530886233,0.031339151817223715,11,0.5555229687314258,0.8831554682707186,-0.2066115702479339,0.6337088190808482,False,False
ACA_R–PCA_R,$\theta$,1,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,-0.36114198405409753,0.7217801658559813,0.8019495304778296,0.036935221923897144,11,0.8207802540002512,0.03680481420234804,11,0.26964907171262187,0.8344591596814424,-0.0743801652892562,0.9022252073199766,False,False
ACA_R–PCA_R,$\alpha$,2,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,62.0,0.9476445296225945,0.8872229664021908,0.02886738149906939,11,0.8716440444232764,0.039348039408329726,11,0.19957879126630348,0.024223816230709874,0.024793388429752067,0.9476445296225945,False,False
ACA_R–PCA_R,$\beta$,3,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,1.2711299727663348,0.21828850785192686,0.8067063110737437,0.02416981870572259,11,0.7624151891005847,0.02509814791817548,11,0.14897148340798894,0.28521351847954934,0.256198347107438,0.5457212696298172,False,False
ACA_R–PCA_R,$\gamma$,4,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,40.0,0.18908180596451618,0.5508945550547572,0.017330587458799385,11,0.5676263750426072,0.012756646418616164,11,0.018444971303177144,0.15437594334626126,-0.33884297520661155,0.5457212696298172,False,False
