method,edge,band,term,estimate,ci_lower,ci_upper,std_error,z_value,p_value,n_subjects,p_fdr,significant_fdr
dpli,ACA_R–PCA_R,beta,genotype[T.3xTg]:interaction_kind[T.with mouse cup],-0.027237193972372738,-0.07486120552733166,0.020386817582586182,0.024298411568075256,-1.1209454534122154,0.26231108148020277,44,0.5752904113205735,False
dpli,ACA_R–PCA_R,beta,genotype[T.3xTg]:sex[T.m],0.011704584096884506,-0.09433733863287423,0.11774650682664324,0.054104015974887246,0.21633484845777937,0.8287267470108968,44,0.8287267470108968,False
dpli,ACA_R–PCA_R,beta,interaction_kind[T.with mouse cup]:sex[T.m],-0.006323712279896756,-0.053947723834855674,0.041300299275062166,0.024298411568075256,-0.26025208529290195,0.7946693297605638,44,0.9933366622007047,False
dpli,ACA_R–PCA_R,beta,genotype[T.3xTg]:interaction_kind[T.with mouse cup]:sex[T.m],0.013032319135190167,-0.054318203900445686,0.08038284217082602,0.03436314318369531,0.37925282520062853,0.7045001274957772,44,0.7060537479561066,False
dpli,ACA_R–PCA_R,delta,genotype[T.3xTg],-0.02785674386681803,-0.13114510279019237,0.0754316150565563,0.052699110666369245,-0.5285998855497811,0.597083039710965,44,0.9914319562954065,False
dpli,ACA_R–PCA_R,delta,interaction_kind[T.with mouse cup],0.06870756185669437,0.006650232015494709,0.13076489169789401,0.031662484785791964,2.169999048448838,0.03000691803298028,44,0.1500345901649014,False
dpli,ACA_R–PCA_R,delta,sex[T.m],-0.030630138632517172,-0.1339184975558915,0.07265822029085717,0.052699110666369245,-0.5812268602867385,0.5610875669304205,44,0.8541081338125069,False
dpli,ACA_R–PCA_R,delta,genotype[T.3xTg]:interaction_kind[T.with mouse cup],-0.04036717923929919,-0.12812949674538435,0.04739513826678598,0.04477751540249879,-0.9015055631480284,0.3673195772846183,44,0.5752904113205735,False
dpli,ACA_R–PCA_R,delta,genotype[T.3xTg]:sex[T.m],0.0613893352770042,-0.08468246274769188,0.2074611333017003,0.07452779702938003,0.8237105848278805,0.4101040236736848,44,0.8287267470108968,False
dpli,ACA_R–PCA_R,delta,interaction_kind[T.with mouse cup]:sex[T.m],-0.014824505861592356,-0.10258682336767752,0.07293781164449281,0.04477751540249879,-0.33107030902311035,0.7405913781321682,44,0.9933366622007047,False
dpli,ACA_R–PCA_R,delta,genotype[T.3xTg]:interaction_kind[T.with mouse cup]:sex[T.m],0.0404036676237327,-0.0837109920586667,0.1645183273061321,0.06332496957158397,0.6380369054589041,0.5234496565448938,44,0.7060537479561066,False
dpli,ACA_R–PCA_R,gamma,genotype[T.3xTg],0.00164791876157553,-0.03812877507359387,0.04142461259674493,0.020294604466675352,0.08119984620944382,0.9352830218209374,44,0.9914319562954065,False
dpli,ACA_R–PCA_R,gamma,interaction_kind[T.with mouse cup],0.016789991532308098,-0.004316712652178076,0.03789669571679427,0.010768924506252749,1.5591149814969307,0.1189691683878045,44,0.29742292096951123,False
dpli,ACA_R–PCA_R,gamma,sex[T.m],0.00373175792963379,-0.03604493590553561,0.04350845176480319,0.020294604466675352,0.18387931313278383,0.8541081338125069,44,0.8541081338125069,False
dpli,ACA_R–PCA_R,gamma,genotype[T.3xTg]:interaction_kind[T.with mouse cup],0.00188609602265677,-0.027963291292040542,0.031735483337354084,0.01522955908891463,0.1238444272513202,0.9014384546998482,44,0.9014384546998482,False
dpli,ACA_R–PCA_R,gamma,genotype[T.3xTg]:sex[T.m],-0.011820263228829201,-0.06807300311688805,0.04443247665922965,0.028700904879769878,-0.4118428766739279,0.6804545921619001,44,0.8287267470108968,False
dpli,ACA_R–PCA_R,gamma,interaction_kind[T.with mouse cup]:sex[T.m],-0.020463577917484616,-0.05031296523218193,0.009385809397212695,0.01522955908891463,-1.3436750071365986,0.1790535026667922,44,0.895267513333961,False
dpli,ACA_R–PCA_R,gamma,genotype[T.3xTg]:interaction_kind[T.with mouse cup]:sex[T.m],0.008123242852356573,-0.0340901655166158,0.05033665122132894,0.02153784901250551,0.3771612869808856,0.7060537479561066,44,0.7060537479561066,False
dpli,ACA_R–PCA_R,theta,genotype[T.3xTg],-0.06288872086768478,-0.16018982888340355,0.03441238714803399,0.049644334683299034,-1.2667854503213096,0.20523201594803775,44,0.9914319562954065,False
