pair,band,band_idx,groupA,groupB,comparison,symbol,test,stat,p_uncorrected,meanA,semA,nA,meanB,semB,nB,shapiro_p_A,shapiro_p_B,cliffs_delta,p_corrected,significant_corrected,significant_uncorrected
ACA_R–PCA_R,$\delta$,0,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,0.547633667841877,0.5910690250187847,0.5512973440095983,0.04735293268010203,11,0.5205381473651111,0.030207354317183795,11,0.1676375769066007,0.11590710149055033,0.04132231404958678,0.7023277175133182,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,99.5,0.011444769361780665,0.8547828839929076,0.03987268813007863,11,0.7587383039698264,0.02643871178615293,11,0.001819999814906386,0.40155668653146576,0.6446280991735537,0.041274101738900705,True,True
ACA_R–PCA_R,$\alpha$,2,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,97.5,0.016509640695560282,0.9310280974429557,0.030186681131585447,11,0.8767661655237763,0.028430558099559206,11,2.8474548083448765e-06,0.1700672469693679,0.6115702479338843,0.041274101738900705,True,True
ACA_R–PCA_R,$\beta$,3,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,1.4513790324228986,0.16286653903821735,0.8022875137006124,0.02695752422690742,11,0.73996809535067,0.033421100688433,11,0.7417444069982575,0.4919659574032125,0.2892561983471074,0.27144423173036225,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,-0.38847560988766167,0.7023277175133182,0.5443957969726803,0.011678912270635906,11,0.5524843022718753,0.017237253398051364,11,0.8409646324473121,0.16478484850049202,-0.12396694214876033,0.7023277175133182,False,False
ACA_R–PCA_R,$\delta$,0,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,-0.4845148785069085,0.6332844434713497,0.5177647525994122,0.04458251053937586,11,0.5483948912319287,0.044821148833033814,11,0.09986868800378926,0.6836470493896882,-0.0743801652892562,0.8804949783900016,False,False
ACA_R–PCA_R,$\theta$,1,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,-0.6010291855599204,0.5546494126525127,0.7889852750839595,0.03627726295247936,11,0.821627024837512,0.04041670485166713,11,0.7058870554509642,0.08023281260150805,-0.2396694214876033,0.8804949783900016,False,False
ACA_R–PCA_R,$\alpha$,2,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,55.0,0.7425957953377234,0.900503934592037,0.024168639836609673,11,0.8850422444907743,0.039342996307439114,11,0.041078709404434775,0.0037230424091211317,-0.09090909090909091,0.8804949783900016,False,False
ACA_R–PCA_R,$\beta$,3,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,1.1968406050205593,0.24545892541863573,0.790993761792619,0.028633771246973326,11,0.7403789275395635,0.031122061257421882,11,0.8501815009066734,0.9986447794219637,0.2892561983471074,0.8804949783900016,False,False
ACA_R–PCA_R,$\gamma$,4,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,0.15298514683404513,0.8804949783900016,0.5545681414399334,0.021838752827060583,11,0.5508363835102993,0.010866670666830933,11,0.4000907430247627,0.06975085899338437,-0.04132231404958678,0.8804949783900016,False,False
